PXg_m,PXg_sd,PYg_m,PYg_sd,PZg_m,PZg_sd,HXg_m,HXg_sd,HYg_m,HYg_sd,HZg_m,HZg_sd,KXg_m,KXg_sd,KYg_m,KYg_sd,KZg_m,KZg_sd,AXg_m,AXg_sd,AYg_m,AYg_sd,AZg_m,AZg_sd
9.29377,4.82737,0.226366,1.38664,-1.23248,2.50577,33.2729,7.57212,-0.412478,2.29333,-9.47582,6.96473,44.5709,9.88925,-3.9758,4.4327,-13.0086,11.4361,4.15404,3.26887,-2.50763,2.75525,-11.2058,5.03818
9.38091,4.81791,0.41385,1.34855,-0.918056,2.61642,33.8681,7.36932,-0.152565,2.28635,-9.54554,6.94881,41.2367,10.2445,-3.74042,4.17649,-13.8707,11.1826,4.50455,3.15735,-2.71491,2.75408,-11.2471,5.08562
9.47735,4.80826,0.567798,1.32142,-0.595152,2.72801,34.3607,7.1739,0.052359,2.29013,-9.64829,6.93863,37.7208,10.519,-3.52819,3.93205,-14.7787,10.9366,4.72615,3.10498,-2.95761,2.76923,-11.2322,5.1416
9.58174,4.79886,0.688411,1.30525,-0.263613,2.83893,34.7599,6.9916,0.202316,2.30459,-9.78401,6.94029,34.0682,10.6868,-3.33513,3.71219,-15.7075,10.6917,4.83845,3.10484,-3.23135,2.80034,-11.156,5.20222
9.69231,4.79018,0.776999,1.29889,0.0767002,2.94706,35.0768,6.82723,0.298988,2.32767,-9.94863,6.95765,30.333,10.7214,-3.15415,3.5263,-16.6313,10.4419,4.86698,3.14809,-3.52932,2.84455,-11.0158,5.26236
9.80678,4.78289,0.835799,1.29973,0.42548,3.04948,35.3239,6.68353,0.34601,2.35543,-10.1347,6.99122,26.5787,10.6008,-2.97744,3.37715,-17.5281,10.1858,4.84314,3.22764,-3.84314,2.89734,-10.8131,5.31753
9.92259,4.77793,0.868077,1.30523,0.781439,3.14337,35.5145,6.56069,0.349385,2.38272,-10.3309,7.03839,22.8763,10.3106,-2.798,3.26122,-18.3812,9.92917,4.803,3.33509,-4.16322,2.9533,-10.5535,5.36475
10.0368,4.77625,0.878186,1.31321,1.14201,3.22569,35.6616,6.45662,0.317609,2.40424,-10.5243,7.09511,19.3052,9.84243,-2.61221,3.16962,-19.179,9.68439,4.78025,3.45991,-4.47915,3.00769,-10.2478,5.40084
10.1464,4.77886,0.871487,1.32197,1.50358,3.2933,35.7772,6.36744,0.261638,2.41513,-10.6998,7.15759,15.9493,9.19821,-2.42007,3.09103,-19.913,9.46863,4.80324,3.5875,-4.78062,3.05778,-9.90802,5.41926
10.2482,4.78656,0.854317,1.33113,1.86192,3.34337,35.8706,6.28856,0.193918,2.41207,-10.8439,7.2211,12.8876,8.39921,-2.22519,3.01231,-20.5765,9.29514,4.88994,3.70092,-5.05728,3.10231,-9.54794,5.41406
10.3393,4.79947,0.834266,1.34128,2.21225,3.37452,35.9483,6.21655,0.129268,2.39452,-10.9458,7.28149,10.1975,7.48627,-2.03561,2.9237,-21.1594,9.17057,5.04342,3.78324,-5.2984,3.14143,-9.1832,5.38454
10.4166,4.81691,0.81939,1.35424,2.54939,3.38619,36.0115,6.1496,0.083345,2.36395,-10.9979,7.33249,7.94243,6.52286,-1.86099,2.82341,-21.6506,9.09199,5.24689,3.82054,-5.49462,3.17519,-8.82722,5.33465
10.4777,4.83763,0.817916,1.37211,2.86812,3.37913,36.0566,6.0877,0.0716282,2.3241,-10.9978,7.36803,6.16789,5.6032,-1.71179,2.71762,-22.0399,9.04927,5.46272,3.80548,-5.63969,3.20269,-8.48888,5.27027
10.5203,4.86002,0.837706,1.39722,3.16345,3.35555,36.0768,6.03216,0.10653,2.28456,-10.9471,7.38235,4.89385,4.85685,-1.59574,2.62094,-22.3189,9.02719,5.63376,3.74589,-5.73057,3.22133,-8.17084,5.20201
10.5431,4.88246,0.885468,1.43203,3.43054,3.3185,36.0623,5.9853,0.196723,2.25889,-10.852,7.37279,4.11242,4.41501,-1.51568,2.55148,-22.482,9.01344,5.69443,3.66791,-5.76639,3.22772,-7.87413,5.14111
10.545,4.90373,0.965794,1.47772,3.66472,3.27119,36.0028,5.94914,0.34666,2.26022,-10.721,7.34012,3.7892,4.33067,-1.47008,2.52022,-22.5283,8.99509,5.58411,3.6292,-5.74993,3.21843,-7.594,5.09151
10.5257,4.92301,1.08185,1.53493,3.86141,3.21662,35.891,5.9255,0.557124,2.29779,-10.5618,7.28826,3.87559,4.52975,-1.45386,2.52762,-22.4575,8.96586,5.26286,3.69459,-5.68515,3.19307,-7.3245,5.05574
10.4856,4.93955,1.23553,1.60312,4.01723,3.15857,35.7249,5.91525,0.825057,2.37239,-10.3816,7.22428,4.31466,4.86805,-1.45928,2.56466,-22.2676,8.9242,4.7215,3.87956,-5.57599,3.15453,-7.06043,5.03465
